Pa?stwo;Kontynent;Stolica;Powierzchnia (km?);Liczba ludno?ci;G?sto?? zaludnienia (os./km?)
Kambod?a;Azja;Phnom Penh;181ÿ040;13ÿ388ÿ910;75
Kamerun;Afryka;Jaunde;475ÿ440;18ÿ100ÿ000;38
Kanada;Ameryka P??nocna;Ottawa;9ÿ976ÿ140;34ÿ110ÿ000;3,41
Katar;Azja;Doha;11ÿ437;928ÿ635;81
Kazachstan;Azja, Europa;Astana;2ÿ717ÿ300;15ÿ399ÿ437;5,67
Kenia;Afryka;Nairobi;582ÿ650;37ÿ953ÿ840;68,6
Kirgistan;Azja;Biszkek;198ÿ500;5ÿ357ÿ000;27
Kiribati;Australia i Oceania;Bairiki;811;103ÿ092;127
Kolumbia;Ameryka Po?udniowa;Bogota;1ÿ139ÿ825;45ÿ730ÿ834;40,1
Komory;Afryka;Moroni;2170;671ÿ247;309
Kongo;Afryka;Brazzaville;342ÿ000;3ÿ756ÿ000;11,2
Korea Po?udniowa;Azja;Seul;99ÿ720;50ÿ062ÿ000;500
Korea P??nocna;Azja;Pjongjang;120ÿ540;22ÿ757ÿ275;188,8
Kostaryka;Ameryka P??nocna;San Jos?;51ÿ100;4ÿ325ÿ000;85
Kuba;Ameryka P??nocna;Hawana;110ÿ860;11ÿ424ÿ000;103
Kuwejt;Azja;Kuwejt;17ÿ818;2ÿ597ÿ000;122
Laos;Azja;Wientian;236ÿ800;6ÿ521ÿ998;26
Lesotho;Afryka;Maseru;30ÿ355;2ÿ031ÿ348;67
Liban;Azja;Bejrut;10ÿ452;3ÿ925ÿ502;375,5
Liberia;Afryka;Monrovia;111ÿ370;3ÿ200ÿ000;29
Libia;Afryka;Trypolis;1ÿ759ÿ540;6ÿ310ÿ434;3,6
Liechtenstein;Europa;Vaduz;160;34ÿ761;215
Litwa;Europa;Wilno;65ÿ200;3ÿ225ÿ346;52
Luksemburg;Europa;Luksemburg;2586;474ÿ413;183,45
?otwa;Europa;Ryga;64ÿ589;2ÿ224ÿ400;35
Macedonia P??nocna;Europa;Skopje;25ÿ713;2ÿ061ÿ000;81
Madagaskar;Afryka;Antananarywa;587ÿ040;20ÿ653ÿ556;34,14
Malawi;Afryka;Lilongwe;118ÿ480;13ÿ600ÿ000;115
Malediwy;Azja;Male;300;396ÿ334;1321
Malezja;Azja;Kuala Lumpur;329ÿ750;27ÿ730ÿ000;82,5
Mali;Afryka;Bamako;1ÿ240ÿ192;12ÿ666ÿ987;10,2
Malta;Europa;Valletta;316;403ÿ532;1277
Maroko;Afryka;Rabat;446ÿ550;34ÿ859ÿ364;78,1
Mauretania;Afryka;Nawakszut;1ÿ030ÿ700;3ÿ250ÿ000;3,2
Mauritius;Afryka;Port Louis;2045;1ÿ230ÿ602;601
Meksyk;Ameryka P??nocna;Meksyk;1ÿ972ÿ550;112ÿ336ÿ538;56,9
Mikronezja;Australia i Oceania;Palikir;702;135ÿ000;171
Mjanma;Azja;Naypyidaw;678ÿ500;53ÿ414ÿ374;78,7
Mo?dawia;Europa;Kiszyni?w;33ÿ843;4ÿ324ÿ450;128
Monako;Europa;Monako;1,95;32ÿ796;16ÿ818
Mongolia;Azja;U?an Bator;1ÿ564ÿ116;2ÿ736ÿ800;1,75
Mozambik;Afryka;Maputo;801ÿ590;21ÿ000ÿ000;26
Namibia;Afryka;Windhuk;825ÿ418;2ÿ089ÿ000;2
Nauru;Australia i Oceania;Yaren;21,3;14ÿ019;621
Nepal;Azja;Katmandu;140ÿ800;28ÿ635ÿ000;203
Niemcy;Europa;Berlin;357ÿ114,22;81ÿ772ÿ000;229
Niger;Afryka;Niamey;1ÿ267ÿ000;15ÿ306ÿ252;12,1
Nigeria;Afryka;Abud?a;923ÿ768;154ÿ729ÿ000;167,5
Nikaragua;Ameryka P??nocna;Managua;129ÿ494;5ÿ570ÿ000;43
Norwegia;Europa;Oslo;324ÿ220;4ÿ769ÿ000;15
Nowa Zelandia;Australia i Oceania;Wellington;268ÿ680;4ÿ393ÿ500;16,35
Oman;Azja;Maskat;309ÿ500;3ÿ312ÿ000;10,7
Pakistan;Azja;Islamabad;803ÿ940;176ÿ242ÿ949;219
Palau;Australia i Oceania;Ngerulmud;508;20ÿ800;44
Panama;Ameryka P??nocna;Panama;78ÿ200;3ÿ293ÿ000;42
