Państwo;Kontynent;Stolica;Powierzchnia (km²);Liczba ludności;Gęstość zaludnienia (os./km²);
Irlandia;Europa;Dublin;70 273;4 581 269;63;
Islandia;Europa;Reykjavík;103 125;306 694;2,5;
Izrael;Azja;Jerozolima;22 072;7 653 600;351;
Jamajka;Ameryka Północna;Kingston;10 991;2 700 000;245;
Japonia;Azja;Tokio;377 835;126 475 664;336,3;
Jemen;Azja;Sana;527 968;23 495 361;44;
Jordania;Azja;Amman;92 300;5 759 732;62;
Kambodża;Azja;Phnom Penh;181 040;13 388 910;75;
Kamerun;Afryka;Jaunde;475 440;18 100 000;38;
Kanada;Ameryka Północna;Ottawa;9 976 140;34 110 000;3,41;
Katar;Azja;Doha;11 437;928 635;81;
Kazachstan;Azja, Europa;Astana;2 717 300;15 399 437;5,67;
Kenia;Afryka;Nairobi;582 650;37 953 840;68,6;
Kirgistan;Azja;Biszkek;198 500;5 357 000;27;
Kiribati;Australia i Oceania;Bairiki;811;103 092;127;
Kolumbia;Ameryka Południowa;Bogota;1 139 825;45 730 834;40,1;
Komory;Afryka;Moroni;2170;671 247;309;
Kongo;Afryka;Brazzaville;342 000;3 756 000;11,2;
Korea Południowa;Azja;Seul;99 720;50 062 000;500;
Korea Północna;Azja;Pjongjang;120 540;22 757 275;188,8;
Kostaryka;Ameryka Północna;San José;51 100;4 325 000;85;
Kuba;Ameryka Północna;Hawana;110 860;11 424 000;103;
Kuwejt;Azja;Kuwejt;17 818;2 597 000;122;
Laos;Azja;Wientian;236 800;6 521 998;26;
Lesotho;Afryka;Maseru;30 355;2 031 348;67;
Liban;Azja;Bejrut;10 452;3 925 502;375,5;
Liberia;Afryka;Monrovia;111 370;3 200 000;29;
Libia;Afryka;Trypolis;1 759 540;6 310 434;3,6;
Liechtenstein;Europa;Vaduz;160;34 761;215;
Litwa;Europa;Wilno;65 200;3 225 346;52;
Luksemburg;Europa;Luksemburg;2586;474 413;183,45;
Łotwa;Europa;Ryga;64 589;2 224 400;35;
Macedonia Północna;Europa;Skopje;25 713;2 061 000;81;
Madagaskar;Afryka;Antananarywa;587 040;20 653 556;34,14;
Malawi;Afryka;Lilongwe;118 480;13 600 000;115;
Malediwy;Azja;Male;300;396 334;1321;
Malezja;Azja;Kuala Lumpur;329 750;27 730 000;82,5;
Mali;Afryka;Bamako;1 240 192;12 666 987;10,2;
Malta;Europa;Valletta;316;403 532;1277;
Maroko;Afryka;Rabat;446 550;34 859 364;78,1;
Mauretania;Afryka;Nawakszut;1 030 700;3 250 000;3,2;
Mauritius;Afryka;Port Louis;2045;1 230 602;601;
Meksyk;Ameryka Północna;Meksyk;1 972 550;112 336 538;56,9;
Mikronezja;Australia i Oceania;Palikir;702;135 000;171;
Mjanma;Azja;Naypyidaw;678 500;53 414 374;78,7;
Mołdawia;Europa;Kiszyniów;33 843;4 324 450;128;
Monako;Europa;Monako;1,95;32 796;16 818;
Mongolia;Azja;Ułan Bator;1 564 116;2 736 800;1,75;
Mozambik;Afryka;Maputo;801 590;21 000 000;26;
Namibia;Afryka;Windhuk;825 418;2 089 000;2;
Nauru;Australia i Oceania;Yaren;21,3;14 019;621;
Nepal;Azja;Katmandu;140 800;28 635 000;203;
Niemcy;Europa;Berlin;357 114,22;81 772 000;229;
Niger;Afryka;Niamey;1 267 000;15 306 252;12,1;
Nigeria;Afryka;Abudża;923 768;154 729 000;167,5;
Nikaragua;Ameryka Północna;Managua;129 494;5 570 000;43;
Norwegia;Europa;Oslo;324 220;4 769 000;15;
Nowa Zelandia;Australia i Oceania;Wellington;268 680;4 393 500;16,35;
Oman;Azja;Maskat;309 500;3 312 000;10,7;
Pakistan;Azja;Islamabad;803 940;176 242 949;219;
Palau;Australia i Oceania;Ngerulmud;508;20 800;44;
Panama;Ameryka Północna;Panama;78 200;3 293 000;42;
Papua-Nowa Gwinea;Australia i Oceania;Port Moresby;462 840;5 932 000;12,8;
Paragwaj;Ameryka Południowa;Asunción;406 750;6 670 000;16,4;
Peru;Ameryka Południowa;Lima;1 285 220;29 181 000;23;
Polska;Europa;Warszawa;322 575;38 200 037;120,92;
Południowa Afryka;Afryka;Pretoria (stolica egzekutywna);1 219 912;48 783 000;40;
Portugalia;Europa;Lizbona;92 391;10 677 000;116;
Republika Środkowoafrykańska;Afryka;Bangi;622 984;4 370 000;7;
Republika Zielonego Przylądka;Afryka;Praia;4033;499 796;118;
Rosja;Azja, Europa;Moskwa;17 075 400;142 914 136;8,4;
Rumunia;Europa;Bukareszt;238 391;22 215 421;91;
Rwanda;Afryka;Kigali;26 338;10 186 000;387;
Saint Kitts i Nevis;Ameryka Północna;Basseterre;261;38 819;149;
Saint Lucia;Ameryka Północna;Castries;616;164 213;266,6;
Saint Vincent i Grenadyny;Ameryka Północna;Kingstown;389;119 000;307;
Salwador;Ameryka Północna;San Salvador;21 040;6 820 000;324;
Samoa;Australia i Oceania;Apia;2944;177 714;60;
San Marino;Europa;San Marino;61,6;31 817;487;
Senegal;Afryka;Dakar;196 190;12 521 851;64;
Serbia;Europa;Belgrad;77 474;7 498 001;94,8;
Seszele;Afryka;Victoria;455;86 525;190;
Sierra Leone;Afryka;Freetown;71 740;6 150 000;86;
Singapur;Azja;Singapur;692,7;4 608 000;6652;
Słowacja;Europa;Bratysława;49 035;5 455 000;111;
Słowenia;Europa;Lublana;20 273;2 039 399;99;
Somalia;Afryka;Mogadiszu;637 700;9 559 000;15;
Sri Lanka;Azja;Sri Dźajawardanapura Kotte;65 610;20 010 000;320;
Stany Zjednoczone;Ameryka Północna;Waszyngton;9 373 967;311 280 492;32,23;
Sudan;Afryka;Chartum;1 886 068;30 894 000;16,4;
Sudan Południowy;Afryka;Dżuba;589 745;8 260 490 (kwestionowana);;
Surinam;Ameryka Południowa;Paramaribo;163 270;476 000;2,9;
Syria;Azja;Damaszek;185 180;19 748 000;107;
Szwajcaria;Europa;brak oficjalnej stolicy, siedzibą rządu jest Berno;41 290;7 725 200;186;
Szwecja;Europa;Sztokholm;449 964;9 331 523;20;
Tadżykistan;Azja;Duszanbe;143 100;7 100 000;50;
Tajlandia;Azja;Bangkok;514 000;65 493 000;127;
Tanzania;Afryka;Dodoma;945 087;39 384 223;42;
Timor Wschodni;Azja;Dili;15 007;1 109 000;74;
Togo;Afryka;Lomé;56 785;5 400 000;95;
Tonga;Australia i Oceania;Nukuʻalofa;748;119 009;144;
Trynidad i Tobago;Ameryka Południowa;Port-of-Spain;5128;1 229 000;206;
Tunezja;Afryka;Tunis;163 610;10 384 000;63,5;
Turcja;Azja, Europa;Ankara;783 562;77 804 122;92;
Turkmenistan;Azja;Aszchabad;488 100;5 180 000;11;
Tuvalu;Australia i Oceania;Vaiaku;26;12 373;475,9;
Uganda;Afryka;Kampala;236 036;32 369 558;136;
Ukraina;Europa;Kijów;603 700;45 706 126;77;
Urugwaj;Ameryka Południowa;Montevideo;176 220;3 477 779 (2008);20;
Uzbekistan;Azja;Taszkent;447 400;27 610 000;62;
Vanuatu;Australia i Oceania;Port Vila;12 189;243 304;20,0;
Watykan;Europa;Watykan;0,44;824;1873;
Wenezuela;Ameryka Południowa;Caracas;916 445;30 102 382;32,85;
Węgry;Europa;Budapeszt;93 030;9 982 000;107;
Wielka Brytania;Europa;Londyn;244 820;62 222 000;254,1;
